"lon" "lat" "MCS" "eq.id" "Mw" "LatEp" "LonEp" "dist"
11.618 44.836 4 "106" 5.03 44.5 11.33 43.7560289517518
10.994 45.438 6 "107" 4.63 45.43 11 1.00523731555975
13.867 41.54 7 "108" 5.17 41.53 13.87 1.13964197714708
8.615 44.913 8 "109" 5.03 44.92 8.62 0.872270397882288
8.228 45.593 6 "109" 5.03 44.92 8.62 80.8800276693377
10.329 44.801 6 "113" 4.63 45.058 9.915 43.345650080483
12.049 44.217 8 "114" 5.37 44.217 12.049 0
13.018 43.837 7 "115" 5.17 43.837 13.018 0
13.197 46.406 8 "116" 5.28 46.4 13.2 0.705712995851715
12.222 46.146 5 "116" 5.28 46.4 13.2 80.2997375029293
13.236 46.063 5 "116" 5.28 46.4 13.2 37.5748610589839
12.434 43.528 9 "117" 6 43.523 12.295 11.2205002236021
12.367 43.55 9 "117" 6 43.523 12.295 6.53439937393747
12.239 43.457 9 "117" 6 43.523 12.295 8.61786408175736
12.141 43.57 8 "117" 6 43.523 12.295 13.4671571322308
12.523 43.668 8 "117" 6 43.523 12.295 24.435248924482
12.337 43.647 7 "117" 6 43.523 12.295 14.1970908496823
12.049 44.217 5 "117" 6 43.523 12.295 79.648928798342
11.912 43.996 7 "119" 5.17 43.996 11.912 0
9.274 45.584 8 "121" 5.37 45.58 9.27 0.542894196523008
10.93 44.252 7 "123" 5.4 44.47 11.07 26.673464565992
10.925 44.647 7 "123" 5.4 44.47 11.07 22.7891197014058
11.34 44.498 7 "123" 5.4 44.47 11.07 21.6446167187616
10.994 45.438 6 "125" 4.83 45.438 10.994 0
10.994 45.438 7 "126" 4.83 45.8 11.6 61.9797286538242
12.222 46.146 6 "126" 4.83 45.8 11.6 61.5688465726923
10.329 44.801 7 "130" 4.83 44.8 10.33 0.13634338601307
11.618 44.836 7 "131" 5.03 44.836 11.618 0
10.994 45.438 6 "132" 4.72 45.47 11.8 62.9693169740089
12.222 46.146 5 "132" 4.72 45.47 11.8 81.975819641328
12.335 45.438 4 "132" 4.72 45.47 11.8 41.8819897321003
16.18 41.882 9 "134" 5.84 41.88 16.18 0.222389853288538
11.062 43.232 8 "135" 5.66 43.271 11.12 6.39307532429106
11.043 43.261 8 "135" 5.66 43.271 11.12 6.33306164535853
11.249 43.777 7 "135" 5.66 43.271 11.12 57.2178438173648
11.043 43.226 7 "135" 5.66 43.271 11.12 7.99570585631573
11.328 43.321 7 "135" 5.66 43.271 11.12 17.7278031364121
10.505 43.843 6 "135" 5.66 43.271 11.12 80.6305901040313
10.401 43.716 6 "135" 5.66 43.271 11.12 76.2383052379595
11.34 44.498 3 "135" 5.66 43.271 11.12 137.570524403939
11.328 43.321 6 "136" 4.63 43.321 11.328 0
11.249 43.777 6 "140" 4.63 43.777 11.249 0
11.947 44.172 8 "141" 5.58 44.146 12.048 8.55999461030013
12.134 44.147 8 "141" 5.58 44.146 12.048 6.86276946642715
11.887 44.122 8 "141" 5.58 44.146 12.048 13.1229893268138
12.061 44.127 8 "141" 5.58 44.146 12.048 2.35367537642865
12.243 44.139 7 "141" 5.58 44.146 12.048 15.5793955229946
12.049 44.217 7 "141" 5.58 44.146 12.048 7.89524249766542
11.34 44.498 7 "142" 5.03 44.5 11.33 0.823701255039828
11.249 43.777 4 "142" 5.03 44.5 11.33 80.6533500142992
12.049 44.217 4 "142" 5.03 44.5 11.33 65.2509875219283
11.328 43.321 7 "143" 5.03 43.321 11.328 0
10.327 44.864 8 "144" 5.62 44.85 10.23 7.80266964380747
10.329 44.801 8 "144" 5.62 44.85 10.23 9.52087554506449
10.061 44.866 8 "144" 5.62 44.85 10.23 13.43908287674
9.693 45.052 5 "144" 5.62 44.85 10.23 47.8569829085252
10.994 45.438 6 "146" 4.63 45.438 10.994 0
11.255 43.685 8 "150" 5.33 43.77 11.3 10.1196292638051
11.318 43.752 8 "150" 5.33 43.77 11.3 2.46893853316053
11.286 43.798 8 "150" 5.33 43.77 11.3 3.31009664650775
11.317 43.796 8 "150" 5.33 43.77 11.3 3.19699761497841
11.249 43.777 7 "150" 5.33 43.77 11.3 4.16819511477452
11.34 44.498 7 "152" 5.18 44.42 11.27 10.2999534226099
11.289 44.727 5 "152" 5.18 44.42 11.27 34.1700011117711
10.775 45.152 4 "152" 5.18 44.42 11.27 90.2834769721443
10.505 43.843 4 "152" 5.18 44.42 11.27 88.5658464912253
10.925 44.647 4 "152" 5.18 44.42 11.27 37.2146271719493
14.469 41.484 11 "153" 6.96 41.302 14.711 28.5844488713262
14.785 41.259 11 "153" 6.96 41.302 14.711 7.81652862977329
14.88 41.164 11 "153" 6.96 41.302 14.711 20.8610839135743
14.931 41.118 10 "153" 6.96 41.302 14.711 27.5189222482531
15.09 41.153 10 "153" 6.96 41.302 14.711 35.7646167705641
14.528 41.579 10 "153" 6.96 41.302 14.711 34.3713798582288
14.448 41.6 10 "153" 6.96 41.302 14.711 39.7296959596187
14.231 41.594 10 "153" 6.96 41.302 14.711 51.5241347796392
14.405 41.558 10 "153" 6.96 41.302 14.711 38.2246789070537
14.812 41.234 10 "153" 6.96 41.302 14.711 11.3326498546478
14.494 41.459 10 "153" 6.96 41.302 14.711 25.1507680833834
14.587 41.493 10 "153" 6.96 41.302 14.711 23.6228902801849
14.505 41.449 10 "153" 6.96 41.302 14.711 23.7198007486746
14.695 41.26 10 "153" 6.96 41.302 14.711 4.85779315755465
14.6 41.233 10 "153" 6.96 41.302 14.711 12.0388070571147
14.996 41.042 10 "153" 6.96 41.302 14.711 37.4815656992435
14.82 41.25 10 "153" 6.96 41.302 14.711 10.7890843921357
14.282 41.61 10 "153" 6.96 41.302 14.711 49.5083721385665
14.64 41.456 10 "153" 6.96 41.302 14.711 18.1197343046323
14.61 41.612 10 "153" 6.96 41.302 14.711 35.4831435348735
15.334 41.158 9 "153" 6.96 41.302 14.711 54.504118578342
14.149 41.672 9 "153" 6.96 41.302 14.711 62.3223799267139
15.494 40.996 9 "153" 6.96 41.302 14.711 73.8638002113988
14.554 41.527 9 "153" 6.96 41.302 14.711 28.2373637299976
15.004 41.102 9 "153" 6.96 41.302 14.711 33.0976999723113
14.559 41.556 9 "153" 6.96 41.302 14.711 30.9561908204711
16.067 41.223 9 "153" 6.96 41.302 14.711 113.679682647791
14.003 42.157 9 "153" 6.96 41.302 14.711 111.759941328841
